Dep,Prov,Sec,NomDep,NomProv,NombreMunicipio,IdLoc,AsientoElectoral,Reci,NombreRecinto,Dist,NomDist,Zona,NomZona,Direccion,MaxMesasReci,NroCircun,TipoCircun,NomCircun,latitud,longitud,idTipoRecinto,TipoRecinto,idUrbanoRural,descUrbanoRural
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6008,Col. Educativo Cotoca,6,DISTRITO 6,47,144A,Barrio Los Chacos,12,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.74604,-63.11758,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6010,Col. Unidad Educativa España,6,DISTRITO 6,56,153,Barrio España C/ Madrin s/n Frente a la plaza España,9,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.77592,-63.11751,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6015,Col. Esc. Gral. Ismael Montes Gamboa,6,DISTRITO 6,96,197,B/Nueva Primavera Zona Los Chacos c/ s/n a 2 cuadras de la Av. Panamericana,21,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.744658,-63.109784,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6016,Colegio  23 de Abril,6,DISTRITO 6,188,71A,"Calle 4, esq. 5to Anillo",12,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.748562,-63.14577,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6020,U.E. El Dorado Norte,6,DISTRITO 6,103,203,Urb El Dorado Norte Pasa Linea 88 Calle Tembetary una cuadra de la Av. El Dorado,12,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.73737,-63.09708,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6021,Esc. Mamerto Cuellar Costa,5,DISTRITO 5,151,343,Km 9 B/Paraiso Diagonal de La Notaria,7,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.69388,-63.16402,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6022,Escuela 1ro. de Mayo,5,DISTRITO 5,223,ET 28,B/23 de Noviembre,7,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.725733,-63.155906,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7000,Col. Educativo San Isidro,7,DISTRITO 7,213,98,Z/Villa 1ro. de Mayo B/15 de Agosto,21,48,Uninominal,Cuadragésimo Octava-Santa Cruz,-17.80816,-63.13194,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7001,U.E. Santa Cruz De La Sierra Fe Y Alegria,7,DISTRITO 7,203,86,Z/Villa 1ro. de Mayo C/Entre 4 y 5 Este,12,47,Uninominal,Cuadragésimo Séptima-Santa Cruz,-17.79493,-63.13117,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,7003,Col. Felix Bascope,3,DISTRITO 3,197,80,Barrio Convifac Sur - Calle San Pedro y Justo Yepez,18,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.79648,-63.14538,7,Unidad Educativa,20,Urbano
